"usaFHWxcRr";"2020.01";"LpltOOPRCl";"1";"100.00";"25";"1"
"pvmfxg8R3W";"2020.01";"6Dmngf6prf";"2";"100.01";"18";"0"
"kJv5q590HV";"2020.01";"MTroFwZpS5";"3";"100.02";"15";"0"
"S7LHJ8CTsn";"2020.01";"KP0tVevuBU";"4";"100.03";"12";"0"
"t6nB2uOkg5";"2020.01";"AaoGqpWVE5";"5";"100.04";"10";"0"
"GRhS3SOJLO";"2020.01";"pSNORAwFdQ";"6";"100.05";"8";"0"
"SRTBFtORSD";"2020.01";"zcvVkNC3iM";"7";"100.06";"6";"0"
"13hSp786b3";"2020.01";"hsau65DRBt";"8";"100.07";"4";"0"
"kvpOGVunbA";"2020.01";"trlMWlm619";"9";"100.08";"2";"0"
"JoKwtSYJTg";"2020.01";"5pBxcoDLwk";"10";"100.09";"1";"0"
"oWqtLoX5BS";"2020.01";"LpltOOPRCl";"11";"100.10";"0";"0"
"FMRjh3lNvq";"2020.01";"6Dmngf6prf";"12";"100.11";"0";"0"
"gqkqMOpE0P";"2020.01";"MTroFwZpS5";"13";"100.12";"0";"0"
"1XqZINVQvw";"2020.01";"KP0tVevuBU";"14";"100.13";"0";"0"
"JeHIw1AUdN";"2020.01";"AaoGqpWVE5";"15";"100.14";"0";"0"
"fSpyjFpyrP";"2020.01";"pSNORAwFdQ";"16";"100.15";"0";"0"
"E6RQmFHbeW";"2020.01";"zcvVkNC3iM";"17";"100.16";"0";"0"
"KPgOUebvqw";"2020.01";"hsau65DRBt";"18";"100.17";"0";"0"
"OQ7vBVgD3R";"2020.01";"trlMWlm619";"19";"100.18";"0";"0"
"lgtKHy94N5";"2020.01";"5pBxcoDLwk";"20";"100.19";"0";"0"
"SfXl0tsYxJ";"2020.02";"LpltOOPRCl";"19";"100.38";"0";"0"
"eJqXicnRps";"2020.02";"6Dmngf6prf";"14";"100.33";"0";"0"
"AIDJjXBxkP";"2020.02";"MTroFwZpS5";"18";"100.37";"0";"0"
"YX6AWj1nXS";"2020.02";"KP0tVevuBU";"17";"100.36";"0";"0"
"26HZSakOSu";"2020.02";"AaoGqpWVE5";"9";"100.28";"2";"0"
"OtDFaiG5LM";"2020.02";"pSNORAwFdQ";"20";"100.39";"0";"0"
"j6RvTkGrqM";"2020.02";"zcvVkNC3iM";"11";"100.30";"0";"0"
"xWm2GUOh6m";"2020.02";"hsau65DRBt";"3";"100.22";"15";"0"
"ImRcocWId0";"2020.02";"trlMWlm619";"5";"100.24";"10";"0"
"hZcsHPo80S";"2020.02";"5pBxcoDLwk";"6";"100.25";"8";"0"
"TXW2yfCSCf";"2020.02";"LpltOOPRCl";"7";"100.26";"6";"0"
"X9bbGTxV4Z";"2020.02";"6Dmngf6prf";"2";"100.21";"18";"0"
"KnNnKlNlnU";"2020.02";"MTroFwZpS5";"13";"100.32";"0";"0"
"flwDh1hWku";"2020.02";"KP0tVevuBU";"15";"100.34";"0";"0"
"TSPXO08ACJ";"2020.02";"AaoGqpWVE5";"4";"100.23";"12";"0"
"LVLhaQ1de2";"2020.02";"pSNORAwFdQ";"8";"100.27";"4";"0"
"MlmPmAhqDi";"2020.02";"zcvVkNC3iM";"16";"100.35";"0";"0"
"4xKk0T8YnU";"2020.02";"hsau65DRBt";"1";"100.20";"25";"1"
"BRbKBUUQwG";"2020.02";"trlMWlm619";"12";"100.31";"0";"0"
"Mn4qfPFqug";"2020.02";"5pBxcoDLwk";"10";"100.29";"1";"0"
"zWB1bIHm4Z";"2020.03";"LpltOOPRCl";"1";"100.40";"25";"1"
"QtiD8QUsyy";"2020.03";"6Dmngf6prf";"15";"100.54";"0";"0"
"9oHYh0DrIz";"2020.03";"MTroFwZpS5";"12";"100.51";"0";"0"
"kNncXL067E";"2020.03";"KP0tVevuBU";"5";"100.44";"10";"0"
"SsnmRFVsCd";"2020.03";"AaoGqpWVE5";"13";"100.52";"0";"0"
"9Kwo9HTvea";"2020.03";"pSNORAwFdQ";"7";"100.46";"6";"0"
"U3HczT6LlO";"2020.03";"zcvVkNC3iM";"14";"100.53";"0";"0"
"ykiNcCwCfw";"2020.03";"hsau65DRBt";"10";"100.49";"1";"0"
"LWgAjxPfbX";"2020.03";"trlMWlm619";"18";"100.57";"0";"0"
"x8C9q4fpo7";"2020.03";"5pBxcoDLwk";"6";"100.45";"8";"0"
"Qo23H4KQs8";"2020.03";"LpltOOPRCl";"3";"100.42";"15";"0"
"XAM8UwJkxI";"2020.03";"6Dmngf6prf";"20";"100.59";"0";"0"
"CzgtJgrt9V";"2020.03";"MTroFwZpS5";"9";"100.48";"2";"0"
"S8vfHyAILv";"2020.03";"KP0tVevuBU";"8";"100.47";"4";"0"
"n13c1sWxel";"2020.03";"AaoGqpWVE5";"17";"100.56";"0";"0"
"5iE6vd6hVF";"2020.03";"pSNORAwFdQ";"11";"100.50";"0";"0"
"vD3b4qxN5e";"2020.03";"zcvVkNC3iM";"4";"100.43";"12";"0"
"N5XjPrltqt";"2020.03";"hsau65DRBt";"19";"100.58";"0";"0"
"vqs5TnsCdn";"2020.03";"trlMWlm619";"16";"100.55";"0";"0"
"YBuKCTAC2K";"2020.03";"5pBxcoDLwk";"2";"100.41";"18";"0"
